description,target
qu564 : sw install request cmi-655155,1
pm310 : sw install request cmi-701726,1
fv224 : sw install request cmi-692794,1
mk374 : sw install request cmi-362327,1
rb605 : sw install request cmi-687847,1
qq348 : sw install request cmi-573753,1
ka151 : sw install request cmi-554374,1
ka346 : sw install request cmi-698589,1
ix073 : sw install request cmi-637122,1
qo431 : sw install request cmi-675359,1
nn197 : sw install request cmi-663002,1
ks096 : sw install request cmi-679139,1
lf970 : sw install request cmi-504904,1
nl857 : sw install request cmi-474342,1
incal access request,1
ly558 : sw install request cmi-378078,1
qk846 : sw install request cmi-686902,1
onesite access request,1
mz498 : sw install request cmi-533193,1
fn006 : sw install request cmi-423107,1
lk734 : sw install request cmi-688848,1
lf009 : sw install request cmi-496282,1
re767 : sw install request cmi-702076,1
ft498 : sw install request cmi-577696,1
qv470 : sw install request cmi-667638,1
li498 : sw install request cmi-668859,1
fl620 : sw install request cmi-573518,1
li621 : sw install request cmi-570700,1
mn666 : sw install request cmi-421015,1
is083 : sw install request cmi-632163,1
notes-access control database access request,1
ptc integrity access request,1
ad120 : sw install request cmi-578810,1
my007 : sw install request cmi-414635,1
url block request!,1
bm130 : sw install request cmi-691882,1
windows: delete a file share,1
pz370 : sw install request cmi-456161,1
pj590 : sw install request cmi-679571,1
ccims access request,1
oo291 : sw install request cmi-706830,1
ld731 : sw install request cmi-497059,1
mr135 : sw install request cmi-693374,1
op896 : sw install request cmi-571347,1
lm802 : sw install request cmi-573669,1
qh763 : sw install request cmi-547341,1
on738 : sw install request cmi-697256,1
nr049 : sw install request cmi-497670,1
notes-claim database access request,1
ak778 : sw install request cmi-590981,1
ck806 : sw install request cmi-573750,1
od926 : sw install request cmi-394933,1
lu309 : sw install request cmi-700566,1
pt978 : sw install request cmi-611960,1
qw324 : sw install request cmi-667493,1
fo600 : sw install request cmi-677933,1
ki654 : sw install request cmi-565865,1
ch353 : sw install request cmi-315124,1
kp648 : sw install request cmi-696029,1
nb481 : sw install request cmi-406676,1
by586 : sw install request cmi-516997,1
qi501 : sw install request cmi-697568,1
unix: oracle - database access request,1
kl601 : sw install request cmi-480378,1
qb619 : sw install request cmi-682339,1
jr268 : sw install request cmi-679571,1
jn052 : sw install request cmi-296181,1
ql926 : sw install request cmi-692472,1
hj352 : sw install request cmi-674273,1
fl339 : sw install request cmi-670663,1
of777 : sw install request cmi-563082,1
kl717 : sw install request cmi-610126,1
cu564 : sw install request cmi-578014,1
fh397 : sw install request cmi-546576,1
oracle:oracle - database access request,1
bv201 : sw install request cmi-579323,1
ly261 : sw install request cmi-703291,1
oi309 : sw install request cmi-660861,1
pt728 : sw install request cmi-636393,1
pz370 : sw install request cmi-457377,1
ka346 : sw install request cmi-650831,1
qx077 : sw install request cmi-670835,1
qr152 : sw install request cmi-647475,1
jm572 : sw install request cmi-531067,1
ld092 : sw install request cmi-457482,1
qy585 : sw install request cmi-672866,1
hs122 : sw install request cmi-700022,1
jp611 : sw install request cmi-353071,1
ky742 : sw install request cmi-487664,1
by586 : sw install request cmi-695314,1
or056 : sw install request cmi-522710,1
if436 : sw install request cmi-447076,1
qr995 : sw install request cmi-650110,1
qq339 : sw install request cmi-573753,1
gz723 : sw install request cmi-571989,1
aq364 : sw install request cmi-579699,1
oz931 : sw install request cmi-668256,1
pq152 : sw install request cmi-408730,1
pk824 : sw install request cmi-695701,1
ng470 : sw install request cmi-687340,1
mn441 : sw install request cmi-699862,1
ald access request,1
dfs issue,1
lt472 : sw install request cmi-494653,1
qj644 : sw install request cmi-692802,1
ad430 : sw install request cmi-573108,1
lj891 : sw install request cmi-460543,1
mg795 : sw install request cmi-448984,1
"backup failure rsv alert on - sclsoradb5001, sclsoradb5002, scldoradb0001, scldoradb0002",1
ariba access request,1
ly228 : sw install request cmi-673800,1
qk941 : sw install request cmi-699385,1
pb987 : sw install request cmi-555442,1
ht304 : sw install request cmi-670321,1
ke912 : sw install request cmi-604456,1
nb774 : sw install request cmi-431777,1
lg899 : sw install request cmi-496166,1
qu575 : sw install request cmi-652421,1
kh180 : sw install request cmi-658567,1
windows: database access request,1
cu564 : sw install request cmi-578021,1
gz984 : sw install request cmi-663701,1
px554 : sw install request cmi-702883,1
qm436 : sw install request cmi-700174,1
hy614 : sw install request cmi-503128,1
mp607 : sw install request cmi-583248,1
jg941 : sw install request cmi-697571,1
nz609 : sw install request cmi-583437,1
ld449 : sw install request cmi-485820,1
lq615 : sw install request cmi-648750,1
jc113 : sw install request cmi-557613,1
jm675 : sw install request cmi-346355,1
he572 : sw install request cmi-585934,1
windows : delete a file share,1
rc943 : sw install request cmi-694473,1
lg166 : sw install request cmi-532083,1
qsi  ebu access request,1
py677 : sw install request cmi-669039,1
lk108 : sw install request cmi-614078,1
ke680 : sw install request cmi-683418,1
bartender access request,1
#decom# server decommission request,1
lw492 : sw install request cmi-433705,1
ba972 : sw install request cmi-576477,1
cu564 : sw install request cmi-579489,1
li621 : sw install request cmi-570692,1
qj636 : sw install request cmi-692373,1
bs657 : sw install request cmi-590940,1
hl946 : sw install request cmi-662977,1
qq092 : sw install request cmi-693105,1
pg507 : sw install request cmi-655943,1
create room mailbox,1
qh845 : sw install request cmi-685044,1
windows:sql - database access request,1
qw046 : sw install request cmi-665466,1
discoverer access request,1
cu564 : sw install request cmi-578015,1
ld449 : sw install request cmi-485817,1
pu581 : sw install request cmi-668281,1
pu278 : sw install request cmi-692476,1
bw915 : sw install request cmi-693282,1
ai435 : sw install request cmi-573161,1
url is blocked,1
webcumpas access request,1
il805 : sw install request cmi-673214,1
qv156 : sw install request cmi-667388,1
re010 : sw install request cmi-699195,1
ld983 : sw install request cmi-705702,1
hx731 : sw install request cmi-546973,1
lj303 : sw install request cmi-664179,1
lq467 : sw install request cmi-627718,1
mk514 : sw install request cmi-595292,1
folder access request,1
ji568 : sw install request cmi-595427,1
pz448 : sw install request cmi-658468,1
rb608 : sw install request cmi-687848,1
by569 : sw install request cmi-444356,1
gq293 : sw install request cmi-287900,1
pj568 : sw install request cmi-486648,1
ml376 : sw install request cmi-571761,1
hy337 : sw install request cmi-513617,1
ez537 : sw install request cmi-660421,1
bn408 : sw install request cmi-574748,1
pu526 : sw install request cmi-669579,1
pn654 : sw install request cmi-638659,1
lw492 : sw install request cmi-433850,1
qq506 : sw install request cmi-573753,1
ix957 : sw install request cmi-421488,1
hx823 : sw install request cmi-549439,1
lo885 : sw install request cmi-580831,1
bv149 : sw install request cmi-536869,1
hc511 : sw install request cmi-415358,1
qs167 : sw install request cmi-647510,1
kc685 : sw install request cmi-588304,1
pl418 : sw install request cmi-679247,1
la543 : sw install request cmi-693418,1
skype for business request,1
jr062 : sw install request cmi-704113,1
qy862 : sw install request cmi-672337,1
ht922 : sw install request cmi-685947,1
cq755 : sw install request cmi-700910,1
pd647 : sw install request cmi-571145,1
nr177 : sw install request cmi-666574,1
by742 : sw install request cmi-689644,1
ni909 : sw install request cmi-531258,1
ix212 : sw install request cmi-696703,1
fn006 : sw install request cmi-423128,1
qf768 : sw install request cmi-662693,1
qm437 : sw install request cmi-702294,1
access request to shared drive,1
es895 : sw install request cmi-651309,1
qv236 : sw install request cmi-686572,1
lk682 : sw install request cmi-490268,1
qk832 : sw install request cmi-580728,1
ht329 : sw install request cmi-680456,1
kh863 : sw install request cmi-689358,1
ck806 : sw install request cmi-653647,1
movex europe & middle east access request,1
na678 : sw install request cmi-686831,1
qp856 : sw install request cmi-657341,1
lg628 : sw install request cmi-663686,1
ho055 : sw install request cmi-672336,1
qy273 : sw install request cmi-679092,1
rb282 : sw install request cmi-706612,1
by586 : sw install request cmi-519924,1
windows- database access request,1
lr338 : sw install request cmi-548481,1
lw975 : sw install request cmi-653566,1
jb151 : sw install request cmi-655268,1
ju273 : sw install request cmi-696587,1
qu726 : sw install request cmi-650703,1
jh990 : sw install request cmi-654353,1
hu256 : sw install request cmi-695576,1
ez537 : sw install request cmi-660443,1
ariba access request bhr,1
pq152 : sw install request cmi-408715,1
lf009 : sw install request cmi-496270,1
nk241 : sw install request cmi-687338,1
jr368 : sw install request cmi-451061,1
pn654 : sw install request cmi-638669,1
qj635 : sw install request cmi-690975,1
fg154 : sw install request cmi-632029,1
notes-hhp review database v2.5 access request,1
eam access request,1
ml376 : sw install request cmi-572270,1
jo679 : sw install request cmi-638548,1
qx307 : sw install request cmi-664645,1
lg899 : sw install request cmi-496171,1
ch475 : sw install request cmi-469499,1
jt580 : sw install request cmi-539036,1
ll058 : sw install request cmi-701571,1
aq364 : sw install request cmi-579703,1
lq392 : sw install request cmi-463744,1
rc531 : sw install request cmi-697879,1
jp831 : sw install request cmi-398678,1
pl902 : sw install request cmi-459617,1
ct136 : sw install request cmi-586505,1
nq958 : sw install request cmi-490140,1
kx955 : sw install request cmi-608757,1
sql - standard database access request,1
jb524 : sw install request cmi-539596,1
fo101 : sw install request cmi-583048,1
hw849 : sw install request cmi-573727,1
ay181 : sw install request cmi-579241,1
qg319 : sw install request cmi-671913,1
ns082 : sw install request cmi-504565,1
ny934 : sw install request cmi-532441,1
dh831 : sw install request cmi-574466,1
lw492 : sw install request cmi-433477,1
pk122 : sw install request cmi-608009,1
lu465 : sw install request cmi-693533,1
nu900 : sw install request cmi-505569,1
nr044 : sw install request cmi-569476,1
hj352 : sw install request cmi-665422,1
ck979 : sw install request cmi-349339,1
np796 : sw install request cmi-450741,1
ot454 : sw install request cmi-399839,1
aj089 : sw install request cmi-585635,1
lr975 : sw install request cmi-348014,1
ah275 : sw install request cmi-573402,1
ssa access request,1
storm fw access request,1
mo851 : sw install request cmi-648795,1
rb955 : sw install request cmi-698060,1
mu643 : sw install request cmi-681681,1
nm369 : sw install request cmi-379251,1
np796 : sw install request cmi-452177,1
kz153 : sw install request cmi-563669,1
mt390 : sw install request cmi-382152,1
bv360 : sw install request cmi-518020,1
ng242 : sw install request cmi-691356,1
lr458 : sw install request cmi-523077,1
\\ceciswputil01\cn.bei.cecihq\localsharedfolders\cci accounting,1
qd774 : sw install request cmi-695445,1
rb955 : sw install request cmi-697095,1
fm290 : sw install request cmi-490449,1
kl253 : sw install request cmi-440258,1
lk725 : sw install request cmi-496136,1
qp446 : sw install request cmi-659016,1
gq293 : sw install request cmi-287890,1
az812 : sw install request cmi-705766,1
qf594 : sw install request cmi-652059,1
ad190 : sw install request cmi-549311,1
cj487 : sw install request cmi-450906,1
ls975 : sw install request cmi-696167,1
if436 : sw install request cmi-447074,1
pz370 : sw install request cmi-455928,1
ck473 : sw install request cmi-353088,1
ad010 : sw install request cmi-585189,1
ch295 : sw install request cmi-470104,1
ck979 : sw install request cmi-574359,1
iv741 : sw install request cmi-373108,1
hy928 : sw install request cmi-662630,1
ox732 storm access request,1
qx045 : sw install request cmi-686006,1
or317 : sw install request cmi-702920,1
ne104 : sw install request cmi-694681,1
map network drives,1
kk974 : sw install request cmi-706186,1
qz817 : sw install request cmi-676721,1
jf561 : sw install request cmi-556153,1
qm299 : sw install request cmi-693254,1
nw230 : sw install request cmi-570726,1
iy262 : sw install request cmi-701575,1
ht329 : sw install request cmi-557556,1
he572 : sw install request cmi-585932,1
np000 : sw install request cmi-666684,1
py087 : sw install request cmi-617010,1
iv119 : sw install request cmi-683914,1
qw700 : sw install request cmi-671437,1
kl594 : sw install request cmi-650746,1
pl252 : sw install request cmi-687767,1
fn006 : sw install request cmi-423133,1
eeec access request,1
nk743 : sw install request cmi-474745,1
kg517 : sw install request cmi-306815,1
pt040 : sw install request cmi-643490,1
by586 : sw install request cmi-519937,1
ml615 : sw install request cmi-707392,1
ow729 : sw install request cmi-553059,1
ot716 : sw install request cmi-516407,1
kl480 : sw install request cmi-537522,1
bn408 : sw install request cmi-574764,1
gv952 : sw install request cmi-696632,1
bg837 : sw install request cmi-694892,1
mh346 : sw install request cmi-555322,1
ow453 : sw install request cmi-655136,1
ki161 : sw install request cmi-660084,1
al661 : sw install request cmi-666903,1
iz342 : sw install request cmi-655246,1
ar233 : sw install request cmi-563229,1
mw068 : sw install request cmi-532341,1
rc705 : sw install request cmi-699631,1
by586 : sw install request cmi-519963,1
ad120 : sw install request cmi-578813,1
ph394 : sw install request cmi-524458,1
re175 : sw install request cmi-703669,1
pgbu - pma access request,1
py087 : sw install request cmi-597191,1
cf361 : sw install request cmi-582006,1
fv562 : sw install request cmi-694387,1
qv590 : sw install request cmi-669196,1
qk601 : sw install request cmi-708270,1
kt521 : sw install request cmi-691342,1
ht329 : sw install request cmi-557560,1
appworx: appworx access request,0
grant or modify access to an existing file share,0
hi:goms - global order management systems (mechelen) access request,0
wwims next generation request,0
decom support request for a server,0
web:tuition assistance request,0
citrix presentation server request,0
support request for a server,0
hi:oracle application express (apex) access request,0
web : cols request,0
web:gps.cummins.com request,0
hi:oracle business intelligence enterprise edition (obiee) request,0
need to deactivate the all  chains in  master mpslp01 since database slp1p will be down,0
mainframe - dav manufacturing access request,0
windows: please add 1tb space to d drive,0
network infrastructure support request,0
unix:support request for a server,0
ebi admin request,0
oracle:ebi admin request,0
oracle:oracle - database request,0
appworx:appworx access request,0
appworx:appworx(prod) access request,0
web:rapidserve web (rsw) access request,0
file share ownership change,0
hi:goms - global order management systems (south africa rdc) access request,0
appworx access request,0
web:websphere request,0
web:cqms (cqms.cummins.com) request,0
skype for business access request,0
appworx(prod) request,0
concur request,0
ctt oracle apps/giea - global supply chain access request,0
support request for a lotus notes application/database,0
ariba request,0
websphere request,0
decommission request,0
unix:support request for a server,0
windows: create a new file share,0
appworx: new appworx portal request ticket,0
microsoft outlook access request,0
new oam portal request ticket,0
hi:support request for a server,0
wwims next generation access request,0
##dcom##support request for a server,0
decomm || decommission request,0
please check the status of hardware and clear the fault,0
\\ceciswputil01\cn.bei.rch\localsharedfolders\ces public,0
# decomm#decommission request,0
server provisioning self service portal access request,0
decomm || support request for a server,0
\\cttcswputil01\cn.wux.holset\localsharedfolders\proe,0
request no: cidm-b7ml73,0
decom oracle business intelligence enterprise edition (obiee) access request,0
us mainframe - tpx account creation request,0
sql:fin treasury workstation (integrity v10) request,0
appworx:kesip request,0
"port openings for sady-b7npub
reference approved details in approvals database",0
remedy itsm 9.1 access request,0
ibm clearcase access request,0
"port openings for dcdn-b52n2p
reference approved details in approvals database",0
"port openings for dcdn-b56rkk
reference approved details in approvals database",0
sharepoint access request,0
#build# support request for a server,0
careers drupal request,0
appworx: xelus(parts) request,0
weekly apphosting change dashboard access request,0
notes mail request,0
appworx: one bms - east access request - donald c andreoff,0
oracle - database request,0
cummins filtration internet website request,0
oracle access manager (oam) access request,0
windows: support request for a server,0
ariba ondemand access request,0
block the sender,0
wwid =ql568 req#32850 cat#:new requirement sub-cat#:voip phone,0
goms - global order management systems (memphis) access request,0
wwid =ij160 req#32782 cat#:new requirement sub-cat#:voip phone,0
windows:ip shortage in mycloud for some vlans. please help us getting ips.,0
windows: storage shortage in some clusters. please do the needful.,0
"port openings for sady-b7nl8p
reference approved details in approvals database",0
sharepoint app deployment request,0
"port openings for sady-b7nlca
reference approved details in approvals database",0
ebu sharepoint applications access request,0
it application and project tracker access request,0
"port openings for sady-b7npj9
reference approved details in approvals database",0
sharepoint access request,0
survey link,0
global onboarding (goapp) access request,0
hi:goms - global order management systems (china rdc) request,0
block request,0
windows: support request for a server,0
web:websphere request,0
urgent block request!,0
"port openings for sady-b7jqy6
reference approved details in approvals database",0
"port opening dcdn-b6gqx9:  approved
see approval database for details.",0
unix:appspace-web access request,0
concur access request,0
cisco unified call manager contact center (cucmcc pub) access request,0
restore a network file or directory ânot m: or k: drive,0
hi:ebi admin request,0
tpdb request,0
"port openings for dcdn-b56qsw
reference approved details in approvals database",0
request access to leaver account,0
windows:support request for a server,0
oracle access manager (oam) request,0
remove access from an existing file share,0
"request for information only (e.g. who has access, owner name)",0
web:gps.cummins.com request,0
windows:vdi (virtual desktop infrastructure) request,0
appworx:wwsps access request,0
pdcs web request,0
appworx request,0
web:onepay extras request,0
system center configuration manager (sccm) access request,0
unix:addm access request,0
hi:oracle business intelligence enterprise edition (obiee) access request,0
as400 : support request for a server,0
web:nissan stage (aws) deployment,0
d account access request,0
web:websphere access request,0
iq942 : sw install request cmi-356724,0
web:certified engine listing (cel) access request,0
decom,0
web:nissan stage deployment,0
new appworx portal request ticket,0
ctg unix account,0
maximo request,0
web:cars web application access request,0
nissan stage (aws) request,0
websphere access request,0
please create ssl certificate for request number : 10445,0
please create ssl certificate for request number : 10444,0
appworx:appworx access request,0
please create ssl certificate for request number : 10418,0
please create ssl certificate for request number : 10419,0
please create ssl certificate for request number : 10420,0
cummins enterprise directory (ced) access request,0
windows ou move access request,0
pam access request,0
web:support request for a server,0
sender block request on ml,0
ldap scripts access request,0
office 365 access request,0
notes-cbs ap standard e forms access request,0
lan-network infrastructure support request,0
desktop device related request,0
unix:local printer,0
ebu finance request,0
windows ou move request,0
unix:websphere request,0
six sigma request,0
please create ssl certificate for request number : 10443,0
"port openings for sady-b82s86
reference approved details in approvals database",0
urgent request,0
darts user access setup(uas) request,0
decomm || cummins enterprise directory (ced) access request,0
request no: cidm-b7d4vl,0
request no: cidm-b7d6kz,0
request no: cidm-b7t3fn,0
request no: cidm-b7tgxf,0
request no: cidm-b7nlg3,0
request no: cidm-b7vbyp,0
request no: cidm-b7vcab,0
request no: cidm-b7vdgx,0
chime for lync access request,0
request no: cidm-b7d6pw,0
request no: cidm-b7vdhq,0
request no: cidm-b7ejap,0
system center configuration manager (sccm) request,0
ldap access request,0
request no: cidm-b7vcau,0
request no: cidm-b7fba4,0
request no: cidm-b7vdhx,0
request no: cidm-b7vdjc,0
smb malware alert,0
request no: cidm-b7vdjl,0
onepay extras request,0
appworx(prod) access request,0
request no: cidm-b7vdjs,0
request no: cidm-b7vdk2,0
request no: cidm-b7vdkj,0
request no: cidm-b7vdka,0
request no: cidm-b7vdkr,0
request no: cidm-b7vdky,0
request no: cidm-b7vdlv,0
wwkitting request,0
request no: cidm-b7vdlg,0
request no: cidm-b7vdmf,0
request no: cidm-b7vdm5,0
\\ceciswputil01\cn.bei.cecihq\localsharedfolders\ea service channel strategy & development,0
request no: cidm-b7vdmv,0
request no: cidm-b7vdmp,0
unix:websphere request,0
request no: cidm-b7zf9d,0
request no: cidm-b7vdn6,0
"create user/directory ""dsapps"" on aws ec2 instance scldapsapp5001.cummins.com",0
\\eardswputil01\cn.wuh.eardc\localsharedfolders\gcic_qsb6.7,0
windows:create a new file share,0
appspace-web access request,0
web : websphere request,0
wan- network infrastructure support request,0
\\dcecswpfile01\cn.xia.dcec\localsharedfolders\ped_autodesign,0
\\cttcswputil01\cn.wux.holset\localsharedfolders\materials & logistic\logistic,0
web:product problem solving (pps) request,0
windows : oracle access manager (oam) access request,0
hi:mcparts request,0
remedy itsm 9.1 request,0
\\ceciswputil01\cn.bei.cecihq\localsharedfolders\abo business development,0
oracle application express (apex) access request,0
\\cttcswputil01\cn.wux.holset\localsharedfolders\engineering,0
nissan dev ec2 instance provisioning,0
abo india notes access request,0
nissan stage ec2 instance provisioning,0
"modification to  dcdn-b6jpbr:  approved  
see approval database for details",0
oracle business intelligence enterprise edition (obiee) request,0
windows: request no: cidm-b6xsae,0
web:fims request,0
##dcom##1ð¡ 8 request,0
speed request,0
sharepoint request,0
addm request,0
\\ceciswputil01\cn.bei.rch\localsharedfolders\engineering_cesdesign&am&pv,0
tpdb dev ec2 instance provisioning,0
tpdb stage ec2 instance provisioning,0
"port openings for sady-b7nqb4
reference approved details in approvals database",0
cel dev ec2 instance provisioning,0
cel stage ec2 instance provisioning,0
epat dev ec2 instance provisioning,0
cbl dev ec2 instance provisioning,0
crpd dev ec2 instance provisioning,0
appspace-web dev ec2 instance provisioning,0
mactrack dev ec2 instance provisioning,0
ebu finance dev ec2 instance provisioning,0
access control for apex prof fw access request,0
bomras dev ec2 instance provisioning,0
fps dev ec2 instance provisioning,0
unix:ibm clearcase access request,0
certified engine listing (cel) access request,0
please create shared mailbox,0
hi:one bms - east request,0
appworx:appworx request,0
hi: appworx request,0
appworx:global engine tracking system (gets) request,0
"port openings for dcdn-alphqx
reference approved details in approvals database",0
cummins connect request,0
prowatch (ls corp security) request,0
modify owner for a file share,0
email or calendar request,0
web:ces engineering project time tracking request,0
fits web request,0
appworx-prd request,0
cummins distributor online services (cdos) request,0
notes-application access control system access request,0
appworx:appworx access request,0
appworx-prd access request,0
web:onepay extras request,0
wwsps request,0
"security exception dcdn-b83shm:  approved
see approval database for details.",0
powercom request,0
\\chkxswpfile01\cn.hkg.chk\localsharedfolders\service,0
"port openings for sady-b7js3z
reference approved details in approvals database",0
microsoft outlook request,0
"security exception: dcdn-b84k2c:  approved
see approval database for details.",0
web:support request for a server,0
"port openings for sady-b7nqfc
reference approved details in approvals database",0
server storage allocationvirtualunix2,0
unix:access request,0
"port opening dcdn-b83gv3:  approved
see approval database for details.",0
windows:support request for a server,0
unix: support request for a server,0
cars web application access request,0
notes mail access request,0
manufacturing request_software_newrequest_new,0
please restart appliance acdcslpviewap01,0
request no: cidm-b7jew7,0
request no: cidm-b7ck5s,0
oracle business intelligence enterprise edition (obiee) access request,0
# decomm silpbigmast6004 support request for a server,0
ebu sharepoint applications request,0
please block the below mentioned email addresses on ml.,0
uk mainframe - tpx account creation request,0
web:appspace-web access request,0
nissan stage (aws) issue,0
web:websphere access request,0
appworx: appworx(prod) request,0
software shelf access request,0
decom cummins enterprise directory (ced) access request,0
bi portal request,0
policy request system (prs) request,0
web:repair logistic support (rls) audit request,0
power suite request,0
"port opening dcdn-b87jqr:  approved
see approval database for details.",0
cbl request,0
repeat visits request,0
\\eardswputil01\cn.wuh.eardc\localsharedfolders\china_tplfe,0
notes-authorization for shipment (dar) access request,0
itsm super user access request,0
"port opening dcdn-b84lnb:  approved
see approval database for details.",0
software shelf request,0
nissan stage (aws) jvm restart,0
product problem solving (pps) request,0
ip-network infrastructure support request,0
ip : network infrastructure support request,0
local printer,0
hr-access approval system (hr-aas) access request,0
i need something fixed with a file share,0
"port opening dcdn-b87kur:  approved
see approval database for details.",0
please create shared mailbox,0
ces engineering project time tracking request,0
unix:channel one dealer portal (drupal) access request,0
web:webparts request,0
wan-network infrastructure support request,0
cqms (cqms.cummins.com) request,0
microsoft self service bi access request,0
#decom# decommission request,0
windows : request no: dscd-b84lte,0
\\eardswputil01\cn.wuh.eardc\localsharedfolders\eard_rio,0
\\ceciswputil01\cn.bei.cecihq\localsharedfolders\ebupartsmarketing_pricing,0
\\ceciswputil01\cn.bei.rch\localsharedfolders\pgbu_engineeringchina,0
request for server configuration upgrade. server: ssdcslpplmapp0001. please do the needful.,0
request no: cidm-b87kcq,0
bi - supply chain via workflowâ 4685ae16-3879-448a-ab4b-2285cf38b086,0
windows : cb alert,0
request for server configuration upgrade. server: ftdcslpdb412. please do the needful.,0
bi - supply chain via workflowâ 5ad96459-af68-48de-8c43-3d5a2112d09b,0
windows: cb  alert,0
windows: network infrastructure support request,0
appworx:appworx-prd access request,0
mcparts request,0
# decommission request,0
\\eardswputil01\cn.wuh.cfsw\localsharedfolders\public,0
\\xinrswputil01\cn.wux.newage\localsharedfolders\me,0
cummins turbo technologies access request,0
web:: predictor support access request,0
sender block request,0
#decom# cummins enterprise directory (ced) access request,0
#decom# oracle business intelligence enterprise edition (obiee) access request,0
# decomm oracle business intelligence enterprise edition (obiee) access request,0
##dcom##oracle business intelligence enterprise edition (obiee) access request,0
windows: server storage allocationvirtualwindows1,0
unix:cost reduction project database (crpd) request,0
#decom# support request for a server,0
##dcom##cummins enterprise directory (ced) access request,0
unix: support request for a server,0
please block the mentioned email addresses on ml.,0
decom,0
unix:appworx access request,0
global locator access request,0
la abo sharepoint apps access request,0
# decomm support request for a server,0
windows: support request for a server,0
components vpi/c project tracker access request,0
"port opening dcdn-b7hfey:  approved
see approval database for details.",0
windows: appworx access request,0
please export the mount,0
windows: network infrastructure support request,0
#build_ waiting for task close_support request for a server,0
gps.cummins.com request,0
\\eardswputil01\cn.wuh.eardc\localsharedfolders\gcic_l93mecht3,0
unix:add power broker account bms_prod into application servers.,0
#dcom-pending for task close-support request for a server,0
unix:request for server configuration upgrade. server: acdcslpdb0036. please do the needful.,0
bi - supply chain via workflowâ ed31973f-0b49-464c-8946-43ea56e66cf0,0
bi - supply chain via workflowâ 91f9cc1b-4ce1-4614-b4b7-3b138f4823ba,0
miscellaneous invoicing request system (mirs) request,0
request no: cidm-b7je2j,0
##dcom## support request for a server,0
windows : change folder name,0
hi:one bms - central request,0
\\cjlxswpfile11\jp.tok.higk\localsharedfolders\cjl,0
microsoft excel access request,0
unix:websphere access request,0
mxca-sharepoint- credenciales access request,0
create a new file share,0
#decomm#support request for a server,0
##clone##support request for a server,0
unix:ibm clearcase access request,0
please block the mentioned email addresses on ml,0
appworx: kesip request,0
decommission request,0
web:please create ssl certificate for request number : 10383,0
web:please create ssl certificate for request number : 10382,0
appworx: appworx(prod) access request,0
#decomm#support request for a server,0
lan : kindly configure ap for cil instrumentation lab,0
obiee - cpg fridley access request,0
windows:cb alert,0
block,0
unix:cummins enterprise directory (ced) access request,0
move data to tape,0
request for server configuration upgrade. server: redcslsplmapp0001. please do the needful.,0
please create ssl certificate for request number : 10450,0
please create ssl certificate for request number : 10451,0
please create ssl certificate for request number : 10452,0
please create ssl certificate for request number : 10453,0
lb497 : sw install request cmi-578503,0
"port opening dcdn-b873nn:  approved
see approval database for details.",0
windows : support request for a server,0
windows: create a new file share,0
as400:support request for a server,0
bd522 : sw install request cmi-574864,0
master diagnostic list (mdl) request,0
aa674 : sw install request cmi-579336,0
lb497 : sw install request cmi-578501,0
lb497 : sw install request cmi-578506,0
https://wx.qq.com/,0
lb497 : sw install request cmi-578502,0
im270 : sw install request cmi-657294,0
tuition assistance request,0
ariba ondemand request,0
po346 : sw install request cmi-593128,0
nissan oem warranty integration request,0
\\eardswputil01\cn.wuh.cfsw\localsharedfolders\pe,0
\\ceciswputil01\cn.bei.rch\localsharedfolders\dbu hr coordinators,0
urgent block request.,0
engine performance and test(epat web) request,0
nissan stage (aws) deployment,0
aa674 : sw install request cmi-534607,0
windows:microsoft self service bi request,0
care siebel crm access request,0
unix;support request for a server,0
aa674 : sw install request cmi-534606,0
phishing - block request,0
mainframe - warranty access request,0
please add below user to ad group : ced_us.col.cise_indexes_staging_modify,0
unix:siebel on demand (sod) access request,0
bd522 : sw install request cmi-574865,0
service management access request,0
request for server configuration upgrade. server: ftdcsldidmoid0001. please do the needful.,0
lb497 : sw install request cmi-578513,0
aa674 : sw install request cmi-579334,0
request for server configuration upgrade. server: ftdcslsidmoid0001. please do the needful.,0
"port opening dcdn-b76pll:  approved
see approval database for details.",0
unix:request for server configuration upgrade. server: ftdcslsidmoid0002. please do the needful.,0
unix:request for server configuration upgrade. server: acdcslpidmoid0004. please do the needful.,0
unix:request for server configuration upgrade. server: acdcslpidmoid0005. please do the needful.,0
# decomm#support request for a server,0
#decom# support request for a server,0
km396 : sw install request cmi-574948,0
request no: cidm-b7dcs2,0
\\eardswputil01\cn.wuh.eardc\localsharedfolders\aet_all,0
request for server configuration upgrade. server: ftdcslsdb0028. please do the needful.,0
apphosting daily tracker access request,0
build - 81381,0
"port opening dcdn-b873w2:  approved
see approval database for details.",0
cost reduction project database (crpd) request,0
notes-engineering deviation access request,0
vertex request,0
digital records center (drc) access request,0
appworx:support request for a server,0
appworx: wwsps access request,0
cr615 : sw install request cmi-645331,0
repair logistic support (rls) express request,0
\\eardswputil01\cn.wuh.eardc\localsharedfolders\eard_hannover,0
database server is going to decommission. please check,0
\\ceciswputil01\cn.bei.rch\localsharedfolders\ces finance,0
web:cbl request,0
request no: cidm-b7kgpl,0
km396 : sw install request cmi-574946,0
request on server admin groups,0
web:srtweb request,0
